Região,Município,UF,Lat,Long
Sul de Minas,Monte Santo de Minas,MG,-21.1899297,-46.9768603
Sul de Minas,Piumhi,MG,-20.4742488,-45.9619861
Sul de Minas,São Joaquim de Bicas,MG,-20.0465245,-44.2626486
Sul de Minas,Tiradentes,MG,-21.1102569,-44.1735339
Sul de Minas,Guaranésia,MG,-21.3005011,-46.80210899999999
Sul de Minas,Arcos,MG,-20.2877726,-45.5396954
Sul de Minas,Carmo do Cajuru,MG,-20.1847973,-44.7714395
Sul de Minas,Delfinópolis,MG,-20.3441313,-46.8507396
Sul de Minas,Ibitiúra de Minas,MG,-22.0625996,-46.4406019
Sul de Minas,Itutinga,MG,-21.2975558,-44.6587612
Sul de Minas,Monte Sião,MG,-22.4347304,-46.5719647
Sul de Minas,Poço Fundo,MG,-21.7795165,-45.9663772
Sul de Minas,São José da Barra,MG,-20.7184095,-46.3135301
Sul de Minas,Tocos do Moji,MG,-22.3706677,-46.0979
Sul de Minas,Guaxupé,MG,-21.3049394,-46.708459
Sul de Minas,Areado,MG,-21.357789,-46.1496185
Sul de Minas,Carmo do Rio Claro,MG,-20.9732824,-46.1190552
Sul de Minas,Desterro de Entre Rios,MG,-20.6611954,-44.3316282
Sul de Minas,Igarapé,MG,-20.0713671,-44.30317
Sul de Minas,Jacuí,MG,-21.0157901,-46.7418516
Sul de Minas,Munhoz,MG,-22.6119646,-46.361962
Sul de Minas,Poços de Caldas,MG,-21.7853787,-46.5619303
Sul de Minas,São José da Varginha,MG,-19.707087,-44.557973
Sul de Minas,Toledo,MG,-22.7420273,-46.3723019
Sul de Minas,Maria da Fé,MG,-22.3080163,-45.3735292
Sul de Minas,Bandeira do Sul,MG,-21.7287997,-46.3860492
Sul de Minas,Carmópolis de Minas,MG,-20.540812,-44.6386557
Sul de Minas,Divinópolis,MG,-20.1435294,-44.89040620000001
Sul de Minas,Igaratinga,MG,-19.9517993,-44.70858279999999
Sul de Minas,Jacutinga,MG,-22.2832272,-46.6089256
Sul de Minas,Muzambinho,MG,-21.3673586,-46.5230158
Sul de Minas,Pouso Alegre,MG,-22.2270778,-45.93937160000001
Sul de Minas,São José do Alegre,MG,-22.3294852,-45.5266048
Sul de Minas,Três Corações,MG,-21.6973293,-45.2562592
Sul de Minas,Mário Campos,MG,-20.0517928,-44.1878969
Sul de Minas,Bom Repouso,MG,-22.4711329,-46.1468333
Sul de Minas,Carrancas,MG,-21.488467,-44.6436719
Sul de Minas,Divisa Nova,MG,-21.5120722,-46.1938902
Sul de Minas,Iguatama,MG,-20.1773927,-45.708185
Sul de Minas,Japaraíba,MG,-20.1393573,-45.504044
Sul de Minas,Nepomuceno,MG,-21.2340693,-45.2360231
Sul de Minas,Prados,MG,-21.0575749,-44.0785286
Sul de Minas,São Pedro da União,MG,-21.1290637,-46.6169543
Sul de Minas,Três Pontas,MG,-21.367353,-45.5127072
Sul de Minas,Marmelópolis,MG,-22.4505221,-45.1655282
Sul de Minas,Bonfim,MG,-20.3271154,-44.2408075
Sul de Minas,Carvalhópolis,MG,-21.7785311,-45.84154600000001
Sul de Minas,Doresópolis,MG,-20.2875075,-45.9029205
Sul de Minas,Ijaci,MG,-21.171429,-44.9262495
Sul de Minas,Jeceaba,MG,-20.5356617,-43.9827543
Sul de Minas,Nova Resende,MG,-21.1274666,-46.4229001
Sul de Minas,Pratápolis,MG,-20.7439106,-46.8604236
Sul de Minas,São Roque de Minas,MG,-20.2500036,-46.36630539999999
Sul de Minas,Turvolândia,MG,-21.8763003,-45.78757909999999
Sul de Minas,Piedade do Rio Grande,MG,-21.4684781,-44.1964469
